"TIME","GEO","CURRENCY","Value","Flag and Footnotes"
"2021S1","Montenegro","Euro","331.33",""
"2021S1","North Macedonia","Euro","352.97",""
"2021S1","Albania","Euro","242.52",""
"2021S1","Serbia","Euro","366.04",""
"2021S1","Turkey","Euro","392.57",""
"2021S1","United States","Euro","1,024.09",""
"2021S2","Belgium","Euro","1,625.72",""
"2021S2","Bulgaria","Euro","332.34",""
"2021S2","Czechia","Euro","596.36",""
"2021S2","Denmark","Euro",":","z"
"2021S2","Germany (until 1990 former territory of the FRG)","Euro","1,585.00",""
"2021S2","Estonia","Euro","584.00",""
"2021S2","Ireland","Euro","1,723.80",""
"2021S2","Greece","Euro","758.33",""
"2021S2","Spain","Euro","1,108.33",""
"2021S2","France","Euro","1,554.58",""
"2021S2","Croatia","Euro","567.32",""
"2021S2","Italy","Euro",":","z"
"2021S2","Cyprus","Euro",":","z"
"2021S2","Latvia","Euro","500.00",""
"2021S2","Lithuania","Euro","642.00",""
"2021S2","Luxembourg","Euro","2,201.93",""
"2021S2","Hungary","Euro","476.00",""
"2021S2","Malta","Euro","784.68",""
"2021S2","Netherlands","Euro","1,701.00",""
"2021S2","Austria","Euro",":","z"
"2021S2","Poland","Euro","619.46",""
"2021S2","Portugal","Euro","775.83",""
"2021S2","Romania","Euro","466.72",""
"2021S2","Slovenia","Euro","1,024.24",""
"2021S2","Slovakia","Euro","623.00",""
"2021S2","Finland","Euro",":","z"
"2021S2","Sweden","Euro",":","z"
"2021S2","Iceland","Euro",":","z"
"2021S2","Norway","Euro",":","z"
"2021S2","Switzerland","Euro",":","z"
"2021S2","United Kingdom","Euro",":",""
"2021S2","Montenegro","Euro","331.33",""
"2021S2","North Macedonia","Euro","358.97",""
"2021S2","Albania","Euro","244.56",""
"2021S2","Serbia","Euro","366.13",""
"2021S2","Turkey","Euro","346.62",""
"2021S2","United States","Euro","1,057.44",""
